element_nameid,elementname
1,Catalog Creation / Onboarding
2,Catalog Data Quality Control
3,Catalog Maintenance
4,Catalog Approvals
5,Catalog Objects
6,Catalog Mobility
7,Catalog Analytics
8,Catalog Roadmap
9,Catalog Contracts
10,On-Premise Software Option
11,Internet Shopping / Catalog Visibility
12,"Catalog ""Secret Sauce"""
13,Requisitioning Set Up
14,Marketplace User Interface
15,Markeplace Dashboard
16,Profiles
17,Search Engine
18,Third-Party Content
19,Requisitioning Process
20,Systems Integration
21,Non-Catalog / Services Requisitions
22,Preferred Supplier Management
23,Repetitive Requisitions
24,Help & Support
25,Shopping Cart / Checkout Process
26,Approval Process / Approval Engine
27,Guided Buying
28,Sourcing Integration
29,Requisitioning Budget Checking Process
30,Requisitioning Inventory Checking Process
31,Mobility
32,Analytics
33,Multi-Currency / Languages
34,Requisition Roadmap
35,Order Setup
36,Order Creation
37,Contract Compliance
38,Extensibility
39,Order Processing (buy-side)
40,Order Delivery / Communication
41,Order Collaboration (buyer/supplier)
42,Order Processing (supply-side)
43,Services Procurement Integration
44,International Trade and Logistics
45,PO Mobility
46,PO Analytics
47,PO Roadmap
48,Receiving Setup
49,Fulfillment
50,Receiving Process
51,Receiving Integration
52,Receiving Mobility
53,Receiving Analytics
54,Receiving Roadmap
55,Supplier Onboarding
56,Supplier Information Management
57,Supplier Performance and Risk Management
58,Catalog Management
59,Order Management
60,Invoicing
61,Other Supplier Network Value-Added Services
62,Ability to Connect to Multiple Supplier/Business Networks
63,Other Capabilities
64,P2P Configuration Set Up
65,Business Rules / Workflow
66,Multi-Currency
67,Business User Configuration
68,Technical Configuration
69,Vendor/Consultant Configuration
70,Customizations
71,Cloud
72,Robotics / AI / Machine Learning
73,Big Data
74,Block chain
75,Mobile
76,Internet of Things (IoT)
77,OCR / Scanners
78,Intelligent Apps
79,Conversational Systems
80,Personalization
81,Open Standards
82,Integrations
83,Data Management Services
84,Managed Services / Co-Sourcing / Outsourcing
85,Consulting / Change Management
86,Invoicing Setup
87,Invoice Creation / Capturing / submission
88,Services Invoicing & Contract Invoicing
89,Invoice Collaboration
90,Invoice Validation / Approvals
91,Invoice Integrations
92,Invoice Compliance
93,Invoice Mobility
94,Invoicing Analytics
95,Invoicing Roadmap
96,Payment Methods
97,Payment Processing
98,Payment Cards
99,Financing On-Boarding
100,Trade Financing (Receivables and Payables Financing)
101,Collaboration
102,Financing Analytics
103,Arbitrary Categorization in Spend Analysis
104,Category Benchmarks
105,Trend Analysis and Demand Forecasting
106,Category Sourcing Plans/Templates
107,Benchmarking
108,Tracking / Scorecard Integration
109,Prescriptive Analytics
110,Basic Should Cost Modelling
111,Market Data Feeds
112,Benchmarks
113,Bill of Material Support
114,Formula Support
115,Templates
116,Sourcing Strategy Definition
117,"Task, Timeline, and Milestone Definition"
118,Role-Based Team Definition
119,Workflow Integration
120,Approvals and Sign-Offs
121,Budget and Demand Definition
122,Execution Support
123,Single Sign-On
124,Distributed Supplier RFX Response Management
125,Distributed Supplier Auction Management
126,Result/Award Notification
127,Contract Negotiation Management
128,Scorecards
129,Corrective Action Management
130,Invitation Management
131,Self-Registration
132,ETL Support
133,ERP Integration
134,P2P/S2P Integration
135,3rd Party Feeds
136,Cleansing
137,Automatic data correction based on known fields
138,Simple rules for automatic correction based on common errors
139,Advanced rules for correction based on industry data
140,Categorization
141,"Built in Schemas (UNSPSC, Best in Class, etc.)"
142,AI
143,Out-of-the-Box Reports and Analytics
144,Standard Spend Reports
145,Customization Capability
146,Report Builder
147,Creation Methodology
148,Components
149,Template Library
150,Category
151,Industry
152,Weighting
153,Formula Based
154,Optimization Backed
155,Multi-Party
156,Advanced Scoring
157,Documentary Support
158,Unlimited Attachments w/ Revision Control
159,Bulk Upload and Association
160,CAD/CAM Visualization Support
161,Real-Time Messaging
162,Virtual Whiteboard Integration
163,Other Party View Support
164,Screen Sharing
165,Multi-SKU Mapping
166,Automatic Supplier Identification
167,from SIM
168,from Supplier Network
169,Bidding
170,"Open, Blind, or Closed"
171,Multiple Offers Per Line
172,Multi-Party Support
173,Each Field Single or Multi-User Rank
174,Side-by-Side Comparison
175,"Pause, Edit, Re-Issue"
176,Multi-Round Support
177,Out-of-the-Box Auction Formats
178,Configuration Options
179,Saved Market Baskets
180,RFX Integration
181,Real-Time Control Mechanisms
182,Proxy Support
183,Messaging
