vendor_id,m_id,persona_id,price_score,user_id
51,7,1,4,1
51,7,3,3.5,1
34,4,1,3.25,1
34,4,3,4,1
34,6,1,3,1
34,6,3,4.5,1
38,5,1,3.75,1
38,5,3,2,1
47,6,1,4,1
47,6,3,5,1
44,6,1,3.5,1
44,6,3,5,1
17,1,1,2.75,1
17,1,3,3,1
17,2,1,3.25,1
17,2,3,4,1
17,3,1,3,1
17,3,3,3.5,1
1,1,1,2.75,1
1,1,3,5,1
1,2,1,2.75,1
1,2,3,3,1
1,3,1,2.75,1
1,3,3,4,1
33,4,1,5,1
33,4,3,4,1
6,1,1,4.25,1
6,1,3,4,1
45,6,1,4.5,1
45,6,3,5,1
7,4,1,2.75,1
7,4,3,3,1
7,5,1,2.75,1
7,5,3,4,1
7,6,1,3.5,1
7,6,3,3,1
7,7,1,4.5,1
7,7,3,3,1
7,8,1,3.5,1
7,8,3,3.25,1
7,1,1,3,1
7,1,3,4.5,1
7,2,1,2.75,1
7,2,3,4.5,1
7,3,1,2.875,1
7,3,3,4.5,1
7,9,1,3.29,1
7,9,3,3.67,1
4,4,1,3,1
4,4,3,2,1
4,5,1,3,1
4,5,3,2,1
4,6,1,3,1
4,6,3,3,1
4,7,1,3,1
4,7,3,3,1
4,8,1,3,1
4,8,3,2.5,1
4,1,1,3,1
4,1,3,3,1
4,2,1,3,1
4,2,3,3,1
4,3,1,3,1
4,3,3,3,1
4,9,1,3,1
4,9,3,2.67,1
28,4,1,5,1
28,4,3,4,1
49,7,1,1.5,1
49,7,3,3,1
11,4,1,3.25,1
11,4,3,5,1
11,5,1,3.25,1
11,5,3,5,1
11,6,1,3.25,1
11,6,3,5,1
11,7,1,3.25,1
11,7,3,5,1
11,8,1,3.25,1
11,8,3,4.5,1
11,1,1,3.25,1
11,1,3,5,1
11,2,1,3,1
11,2,3,5,1
11,3,1,3.125,1
11,3,3,5,1
11,9,1,3.21,1
11,9,3,4.67,1
46,6,1,3.25,1
46,6,3,4.5,1
50,7,1,2,1
50,7,3,3,1
10,4,1,3.25,1
10,4,3,2,1
10,5,1,3.25,1
10,5,3,3,1
10,6,1,3.25,1
10,6,3,3,1
10,7,1,3.25,1
10,7,3,3,1
10,8,1,3.25,1
10,8,3,2.75,1
10,1,1,3.75,1
10,1,3,3,1
10,2,1,3.5,1
10,2,3,3,1
10,3,1,3.625,1
10,3,3,3,1
10,9,1,3.38,1
10,9,3,2.83,1
27,4,1,2.5,1
27,4,3,4,1
27,5,1,2.5,1
27,5,3,4,1
27,6,1,3,1
27,6,3,3,1
27,7,1,3,1
27,7,3,3,1
27,8,1,2.75,1
27,8,3,3.5,1
9,4,1,3,1
9,4,3,3,1
9,5,1,3,1
9,5,3,2,1
9,6,1,3,1
9,6,3,3,1
9,7,1,3.5,1
9,7,3,3,1
9,8,1,3.13,1
9,8,3,2.75,1
23,4,1,3,1
23,4,3,3,1
23,5,1,3,1
23,5,3,3,1
23,6,1,3,1
23,6,3,3,1
23,7,1,3,1
23,7,3,3,1
23,8,1,3,1
23,8,3,3,1
23,1,1,3,1
23,1,3,3,1
29,4,1,4.25,1
29,4,3,3,1
30,4,1,5,1
30,4,3,3,1
19,1,1,3,1
19,1,3,3,1
19,2,1,3,1
19,2,3,3,1
19,3,1,3,1
19,3,3,3,1
18,1,1,2.75,1
18,1,3,3,1
18,2,1,2.75,1
18,2,3,3,1
18,3,1,2.75,1
18,3,3,3,1
12,4,1,2.25,1
12,4,3,3,1
12,5,1,1.75,1
12,5,3,3,1
12,6,1,1.75,1
12,6,3,4.5,1
12,7,1,2.25,1
12,7,3,3,1
12,8,1,2,1
12,8,3,3.38,1
12,1,1,2,1
12,1,3,5,1
12,2,1,2.25,1
12,2,3,5,1
12,3,1,2.125,1
12,3,3,5,1
12,9,1,2.04,1
12,9,3,3.92,1
31,4,1,5,1
31,4,3,4,1
32,4,1,4,1
32,4,3,3.5,1
35,5,1,3,1
35,5,3,5,1
40,5,1,4.25,1
40,5,3,5,1
