vendor_id,e_id,sm_score,analyst_notes
1,138,3,Keeping 3..need to understand what differentiates form peers for a 4 nor even a 5
1,139,3,Keeping 3..canÔæ´t see key differentiatiors form peers
1,140,3,Keeping 3..canÔæ´t see key IT differentiatiors form peers
1,141,3,Keeping 3...this feature has been estandraize among BoB vendors
1,142,3.5,"Keeping 3.5. Still above managing comples scenarios, but for a 4 requieres specific differentiators vs. peers"
1,143,3,"Need to understand how the Take Inventory app, works for catalogs management"
1,144,2.5,"Lots of innovation in this topic, the usual reporting is more common today. Required a demo to keep the 3 or increase it"
1,145,2,
1,146,3,Keeping 3
1,147,0,
1,148,1,This requirements refers to sites different from punchouts. Or if punch-outs how they are presented (visible) with in search results. Need more info
1,149,2,Standard features as innovation in the space increase
1,150,3,Keeping 3 but will required demo to understand complex scenarios and maintain it
1,151,3,"Keeping 3, however, this has been transforming into common features. Requires demo to maintain it"
1,152,3,"Keeping 3, however, this is a competitive topic, and innovation is happening to keep the 3 and more to have a 4"
1,153,3,"Understand the ability to handle profiling complexity, not anymore a differentiator, need to understand better what makes it outstanding and different"
1,154,2.5,Search engine is getting to innovative and support by AI. Need more info and demo
1,155,2.5,"Scoring 2.5, however, features described are now a 2, need more info and demo"
1,156,4,"Updating to a 4, mainly because the industry specific approach"
1,157,3,"More standard every quarter, need more info and demo to understand the differences vs peers."
1,158,3,"Keping the 3, however, this requires more info and demo to keep it for hte next quarter. Getting to a standard level as described"
1,159,2.5,"Scoring 2.5, however, features described are now a 2, need more info and demo"
1,160,3,"Keping the 3, however, this requires more info and demo to keep it for hte next quarter. Getting to a standard level as described"
1,161,3,Keeping a 3. needs more info and requires a demo to keep it
1,162,3,Keeping a 3. needs more info and requires a demo to keep it
1,163,3,Keeping a 3. needs more info and requires a demo to understand what is different from peers
1,164,3,Keeping a 3. needs more info and requires a demo to understand what is different from peers; this is getting more intelligent
1,165,3,Keeping a 3. needs more info and requires a demo to keep it
1,166,3.5,"Updating to a 3.5, mainly because the industry specific features (property level)"
1,167,5,"Updating to a 5, mainly because the industry specific features. But requires more info and demo to keep it "
1,168,4,"updating to 4, however, need more information about the Take Inventory app as part of the req process"
1,169,3,"Lots of innovation in this topic, the usual reporting is more common today. Required a demo to increase the 3, mainly what if scenarios"
1,170,3,Keeping a 3. needs more info and requires a demo to see what makes it a 4 (different vs. Peers)
1,171,3,Keeping 3 based on industry specific features
1,172,0,0
1,173,3,Keeping 3 of handling complex scenarios 
1,174,3,"Keeping 3 , need more info and demo to review the inventory ordering and any other eatures that could be different from peers."
1,175,2.5,Seems standard features. Would need mor info and demo
1,176,2,Need information about current extensibility our-of the box
1,177,3,Keeping 3 of handling complex scenarios 
1,178,3,Keeping 3 of handling complex scenarios 
1,179,2,Seems standard features. Would need mor info and demo
1,180,3,Keeping 3 of handling complex scenarios 
1,181,2,Need more info and demo to understand how complex services procurement scenarios can be handle
