m_id,persona_id,e_id,weight,user_id
1,1,2000,0.6,1
1,2,2000,1,1
1,3,2000,1,1
1,4,2000,0.8,1
1,5,2000,0.6,1
1,1,2001,0.2,1
1,2,2001,1,1
1,3,2001,1,1
1,4,2001,0.8,1
1,5,2001,0.6,1
1,1,2002,0.2,1
1,2,2002,1,1
1,3,2002,0.8,1
1,4,2002,0.8,1
1,5,2002,0.4,1
1,1,2003,0.2,1
1,2,2003,0.8,1
1,3,2003,0.8,1
1,4,2003,0.6,1
1,5,2003,0.6,1
1,1,2004,0.2,1
1,2,2004,0.8,1
1,3,2004,0.8,1
1,4,2004,0.6,1
1,5,2004,0.6,1
1,1,2005,0,1
1,2,2005,0.8,1
1,3,2005,0.4,1
1,4,2005,0.4,1
1,5,2005,0,1
1,1,2006,0.4,1
1,2,2006,1,1
1,3,2006,0.8,1
1,4,2006,0.4,1
1,5,2006,0.6,1
1,1,2007,0.4,1
1,2,2007,1,1
1,3,2007,1,1
1,4,2007,0.6,1
1,5,2007,0.6,1
1,1,2008,0.4,1
1,2,2008,1,1
1,3,2008,1,1
1,4,2008,0.8,1
1,5,2008,0.6,1
1,1,2009,0.4,1
1,2,2009,0.8,1
1,3,2009,0.8,1
1,4,2009,0.8,1
1,5,2009,0.8,1
1,1,2010,0.4,1
1,2,2010,1,1
1,3,2010,1,1
1,4,2010,0.6,1
1,5,2010,0.4,1
1,1,2011,0.4,1
1,2,2011,1,1
1,3,2011,1,1
1,4,2011,0.8,1
1,5,2011,0.6,1
1,1,2012,0.4,1
1,2,2012,0.8,1
1,3,2012,0.8,1
1,4,2012,0.6,1
1,5,2012,0.6,1
1,1,2013,0.4,1
1,2,2013,1,1
1,3,2013,0.8,1
1,4,2013,0.8,1
1,5,2013,0.6,1
1,1,2014,0,1
1,2,2014,0.8,1
1,3,2014,0.6,1
1,4,2014,0.4,1
1,5,2014,0.2,1
1,1,2015,0,1
1,2,2015,1,1
1,3,2015,0.8,1
1,4,2015,0.6,1
1,5,2015,0.2,1
1,1,2016,0.8,1
1,2,2016,1,1
1,3,2016,1,1
1,4,2016,1,1
1,5,2016,1,1
1,1,2017,0.4,1
1,2,2017,0.8,1
1,3,2017,0.8,1
1,4,2017,0.8,1
1,5,2017,0.6,1
1,1,2018,0.4,1
1,2,2018,1,1
1,3,2018,1,1
1,4,2018,1,1
1,5,2018,0.6,1
1,1,2019,0.4,1
1,2,2019,1,1
1,3,2019,1,1
1,4,2019,1,1
1,5,2019,0.6,1
1,1,2020,0.2,1
1,2,2020,0.8,1
1,3,2020,0.5,1
1,4,2020,0.5,1
1,5,2020,0.2,1
1,1,2021,0.4,1
1,2,2021,1,1
1,3,2021,0.8,1
1,4,2021,1,1
1,5,2021,0.6,1
1,1,2022,0.2,1
1,2,2022,0.6,1
1,3,2022,0.6,1
1,4,2022,0.6,1
1,5,2022,0.4,1
1,1,2023,0.2,1
1,2,2023,1,1
1,3,2023,0.6,1
1,4,2023,1,1
1,5,2023,0.4,1
1,1,2024,0,1
1,2,2024,1,1
1,3,2024,1,1
1,4,2024,0.4,1
1,5,2024,0.2,1
