persona_id,m_id,e_id,weight,p-m-e,weight,not in A,
1,4,2000,0.6,1-4-2000,0.6,4507,
1,4,2001,0.2,1-4-2001,0.2,4513,
1,4,2002,0.1,1-4-2002,0.1,4519,
1,4,2003,0,1-4-2003,0,4525,
1,4,2004,0.1,1-4-2004,0.1,4531,
1,4,2005,0,1-4-2005,0,4537,
1,4,2006,0.4,1-4-2006,0.4,4543,
1,4,2007,0.3,1-4-2007,0.3,4549,
1,4,2008,0.5,1-4-2008,0.5,4555,
1,4,2009,0.4,1-4-2009,0.4,4561,
1,4,2010,0.7,1-4-2010,0.7,4567,
1,4,2011,0.4,1-4-2011,0.4,4573,
1,4,2012,0.4,1-4-2012,0.4,4579,
1,4,2013,0.5,1-4-2013,0.5,4585,
1,4,2014,0.3,1-4-2014,0.3,4591,
1,4,2015,0.2,1-4-2015,0.2,4597,
1,4,2016,0.4,1-4-2016,0.4,4603,
1,4,2017,0.3,1-4-2017,0.3,4609,
1,4,2018,0.5,1-4-2018,0.5,4615,
1,4,2019,0.5,1-4-2019,0.5,4621,
1,4,2020,0.2,1-4-2020,0.2,4627,
1,4,2021,0.5,1-4-2021,0.5,4633,
1,4,2022,0.2,1-4-2022,0.2,4639,
1,4,2023,0.2,1-4-2023,0.2,4645,
1,4,2024,0,1-4-2024,0,4651,
1,4,2025,0,1-4-2025,0,4657,
1,4,2026,0.3,1-4-2026,0.3,4663,
1,4,2027,0.2,1-4-2027,0.2,4669,
1,4,2028,0.1,1-4-2028,0.1,4675,
1,4,2029,0.2,1-4-2029,0.2,4681,
1,4,2030,0,1-4-2030,0,4687,
1,4,2031,0,1-4-2031,0,4693,
1,4,2032,0.1,1-4-2032,0.1,4699,
1,4,2033,0.1,1-4-2033,0.1,4705,
1,4,2034,0.2,1-4-2034,0.2,4711,
1,4,2035,0.2,1-4-2035,0.2,4717,
1,4,2036,0.2,1-4-2036,0.2,4723,
1,4,2037,0.2,1-4-2037,0.2,4729,
1,4,2038,0.2,1-4-2038,0.2,4735,
1,4,2039,0.1,1-4-2039,0.1,4741,
1,4,2040,0.1,1-4-2040,0.1,4747,
1,4,2041,0.5,1-4-2041,0.5,4753,
1,4,2042,0.3,1-4-2042,0.3,4759,
1,4,2043,0,1-4-2043,0,4765,
1,4,2044,1,1-4-2044,1,4771,
1,4,2045,0.4,1-4-2045,0.4,4777,
1,4,2046,0,1-4-2046,0,4783,
1,4,2047,0,1-4-2047,0,4789,
1,4,2048,0.4,1-4-2048,0.4,4795,
1,4,2049,0,1-4-2049,0,4801,
1,4,2050,0.2,1-4-2050,0.2,4807,
1,4,2051,0.2,1-4-2051,0.2,4813,
1,4,2052,0.2,1-4-2052,0.2,4819,
1,4,2053,0,1-4-2053,0,4825,
1,4,2054,0.4,1-4-2054,0.4,4831,
1,4,2055,0.4,1-4-2055,0.4,4837,
1,4,2056,0,1-4-2056,0,4843,
1,4,2057,0.2,1-4-2057,0.2,4849,
1,4,2058,0.6,1-4-2058,0.6,4855,
1,4,2059,0.2,1-4-2059,0.2,4861,
1,4,2060,0,1-4-2060,0,4867,
1,4,2061,0.5,1-4-2061,0.5,4873,
1,4,2062,0.2,1-4-2062,0.2,4879,
1,4,2063,0.2,1-4-2063,0.2,4885,
1,4,2064,0.2,1-4-2064,0.2,4891,
1,4,2065,0.5,1-4-2065,0.5,4897,
