Company,ID,Year,Quarter,Round,Self-Score,Self-Description,SM Score,Analysts Notes
Talmix,1048,2018,4,1,4,"Talmix uses a combination of machine learning and algorthms to match talent with business requirements, developing ranked and scored results from the instant the requirement starts to be specified.",3,
Talmix,1049,2018,4,1,4,"Business users only see proposals from talent which connects directly to their requirement. This makes sure that there is minimal onboarding requirements as the capabilities are already proven. The client can select based on personal preferences, although it is our intent to add in additional datasets on soft skills to further accelerate the process.",2,
Talmix,1050,2018,4,1,3,The selection triggers our own internal platform processes to generate an agreement and payment schedule for both parties in the agreement.,1,
Talmix,1050,2018,4,2,,,2,
Talmix,1051,2018,4,1,4,"The Talmix database contains multiple datasets relating to project types, industry, function, seniority, rate, experience, expertise.",3,
Talmix,1052,2018,4,1,2,"Talmix extracts this data for its own reporting and provides outputs to clients - for example trending skillsets, rate card information",2,
Talmix,1053,2018,4,1,2,"Users are presented with relevant data sets (Eg matching talent, matching projects) but we do not provide them with the ability to interrogate and extract data",2,
Talmix,1054,2018,4,1,2,"On the supply side, users can search projects. On the demand side, users can search through talent views. They cannot directly search the entire database.",1,
Talmix,1054,2019,2,1,2,"Talmix has recently introduced 'find similar' functionality so that when clients have discovered talent that matches their requirements it is easy to find similar profiles, facilitating building of talent views.",2,
Talmix,1055,2018,4,1,1,There are currently no user-defined reports. ,0,
Talmix,1056,2018,4,1,1,The data can be extracted into third-party solutions: we use this for our own reporting and analysis. We have not been requested to do this for clients to date. ,1,
Talmix,1057,2018,4,1,2,"The user dashboard on the platform provides a full view of current projects, applications and status. ",3,
Talmix,1058,2018,4,1,2,"We can provide this as a standalone service to clients. Most prefer to use our solution for the talent pooling aspect, and then use their existing ATS to complete KPI information.",2,
Talmix,1059,2018,4,1,1,At present this has not been a requested feature.,1,
Talmix,1060,2018,4,1,0,,0,
Talmix,1061,2018,4,1,1,"Our solution is a private cloud application. All credencials data is encrypted on our platform and all communications to and from this private cloud are encrypted. The client does not store any data locally, outside the regular functional data that is required to keep the operation of a normal web app, e.g., cookies and Local Storage.",0,
Talmix,1062,2018,4,1,4,100% of our customers are using private cloud model.,3,
Talmix,1063,2018,4,1,4,"We make use of both relational and non-relational database technology, for different purposes on our Platform. A non-relational database powers our instant search and matching tech, while a relational database powers our main application data needs. We make full use of high-availability and high scalability technology around these different databases.",4,
Talmix,1064,2018,4,1,3,"We collect and process various types of information, mostly structured but some unstructured. We acknowlege the burden of collection and realise the importance of collecting even seemingly unstructured data, as this is a key part of our Data Science Roadmap.",2,
Talmix,1065,2018,4,1,1,"We do not currently deal with Big Data, nor have plans to in the future.",0,
Talmix,1066,2018,4,1,4,"Talmix has its own taxonomy based on its understanding of high-end talent engagements from supply side and demand side. This taxonomy underpins all the datasets and is an evolving framework. Furthermore, the Platform is built in a scalable and flexible way, which allows for rapid iteration and adaptation to new or changed business rules.",4,
